㐷	horse; knight
宏	great
宓	still
宕	dissipated
宗	school
官	government official
宙	eternity
定	fix; to set; to make definite
宛	winding
宜	proper
宝	jewel
实	real
宠	love
审	examine
客	customer; visitor; guest
宣	declare
室	room
宥	forgive
宦	imperial official
宧	northeastern corner of a room
宪	statute
宫	palace
宬	archive room; library
宰	slaughter; to butcher; to kill
害	do harm to
宴	entertain at a banquet
宵	night
家	home
宸	imperial apartments
容	hold
宽	wide
宾	visitor
宿	night
寀	feudal estate
寁	swift
寂	silent
寄	entrust; to place in sb's care
寅	ancient Chinese compass point: 60°
密	dense; close; thick
寇	invade
富	rich
寎	nightmare
寐	sleep soundly
寒	cold
寓	reside; to inhabit
寔	really
寘	put aside
寙	bad
寝	lie down to sleep or rest
寞	lonesome
察	examine
寡	few
寤	awake from sleep
寥	empty
寨	stronghold
寮	hut
寰	large domain
寸	a unit of length
对	right; correct
寺	Buddhist temple
寻	search
导	transmit
寿	long life
封	confer
尃	state to, to announce
射	shoot
将	will
尉	military officer
尊	senior
尌	standing up
小	small
尐	few
少	few
尔	thus
尕	little
尖	pointed; tapering; sharp
尘	dust
尙	yet
尚	still
尜	toy formed of a spindle with two sharp ends
尝	taste; to try
尢	lame
尤	outstanding
尥	give a backward kick
尨	huge
尪	feeble
尬	embarrassing; awkward
尰	swell
就	in that case; then
尸	corpse
尹	administer; to govern
尺	a Chinese foot
尻	buttocks; rump; coccyx; sacrum
尼	Buddhist nun
尽	use up
尾	tail
尿	urine
局	narrow
屁	fart
层	pile on top of one another
屄	cunt
居	reside; to live
屇	cave
屈	bent
屉	drawer; tier; tray
届	arrive at
屋	house
屌	penis
屎	feces; excrement; a stool
屏	screen
屐	clogs
屑	bits
展	spread out
屖	sharp
屘	the youngest
屙	excrete
屝	coarse
属	category
屠	slaughter
屡	time and again
屣	slippers
履	shoe
屦	sandals
屧	wooden shoes
屩	hemp sandals
屪	penis
屮	plants sprouting
屯	station
山	mountain; hill
屴	high mountain range
屹	high and steep
屺	a barren hill
屼	bare hill
屾	two mountains standing next to each other
屿	islet
岁	years old
岂	how?
岊	mountain peak
岌	lofty peak
岍	name of a mountain
岐	also used in place names
岑	small hill
岒	character used in place names
岔	fork in road
岗	hillock; mound
岘	Mt Xianshou in Hubei
岙	plain in the middle of the mountains
岚	mountain mist
岛	island
岜	stony hill
岝	name of a mountain in Shandong
岣	name of a hill in Hunan
岧	lofty peak
岨	rocky hill
岩	cliff
岫	cave
岬	cape
岭	mountain range
岱	Mt Tai in Shandong
岳	high mountain
岵	mountain covered with vegetation
岷	name of a river in Sichuan
岸	bank; shore; beach; coast
岽	place name in Guangxi province
岿	high and mighty
峁	round yellow dirt mount
峃	big rocky mountain
峄	name of hills in Shandong
峇	cave
峒	cave
峓	place name
峙	tower aloft
峞	high and uneven
峡	gorge
峣	high
峤	highest peak
峦	mountain ranges
峨	lofty
峪	valley
峭	high and steep
峰	highest level
峱	name of a mountain
峹	name of a mountain
峻	high
峿	name of a mountain
崂	name of a mountain in Shandong
崃	name of a mountain in Sichuan
崄	precipitous
崆	name of a mountain
崇	high
崋	flowery
崌	mountain name
崎	mountainous
崒	rocky peaks
崔	lofty
崖	precipice
崚	lofty
崛	towering as a peak
崞	name of a mountain
崟	high
崠	name of a mountain
崤	name of a mountain in Henan
崦	name of a mountain in Gansu
崩	collapse
崭	towering
崮	mesa
崱	lofty
崳	county in Shandong province
崴	sprain
崶	name of a legendary hill
崽	child
崿	cliff
嵂	rise sharply
嵄	mountain
嵇	name of a mountain
嵌	inlay
嵎	mountain range
嵙	place name
嵚	loftiness
嵛	place name in Shandong
嵝	mountain peak
嵞	Mt Tu in Zhejiang
嵡	of mountainous appearance
嵩	lofty
嵬	rocky
嵯	lofty
嵴	ridge
嵺	vast and empty
嶂	cliff
嶅	hill strewn with stones
嶋	used as second component of Japanese names with phonetic value -shima or -jima
嶒	lofty
嶓	name of a mountain
嶙	ranges of hills
嶝	path leading up a mountain
嶞	mountain peak
嶟	steep; precipitous
嶡	precipitous
嶭	elevated
嶰	mountain valley
嶷	name of a mountain in Hunan
巂	cuckoo
巃	steep
巅	summit
巇	mountain-gorge
巉	steep; rugged; jagged; precipitous
巍	lofty
巓	summit
川	river
州	prefecture
巟	a watery waste
巠	underground watercourse
巡	patrol
巢	nest
工	work
左	left
巧	opportunely
巨	very; extremely
巩	fix in place; to make firm and secure
巫	witch
差	send
巯	hydrosulfuryl
己	self
已	already
巳	ancient Chinese compass point: 150°
巴	long for
巷	lane
巽	obey
巾	towel
币	money
市	market
布	cloth
帄	patch
帅	commander-in-chief
帆	sail
师	teacher
希	hope
帏	curtain
帐	curtain; tent; canopy
帑	state treasury
帔	cape
帕	wrap
帖	fitting snugly
帗	object held by dancer
帘	flag used as a shop sign
帙	ten years
帚	broom
帛	silk
帜	flag
帝	emperor; sovereign; supreme deity
帟	canopy
帣	a bag which holds 30 pecks
带	band
帧	frame
帨	handkerchief
席	woven mat
帮	help
帱	canopy
帷	curtain
常	always
帹	man's headband
帻	turban
帼	cap worn by women
帽	hat
幂	power; exponent
幄	tent
幅	width
幋	large scarf
幌	shop sign
幏	cloth , esp. of southern ethnic groups
幔	curtain
幕	curtain
幛	hanging scroll
幠	arrogant
幡	banner
幢	banner; pennant
幦	chariot canopy
幨	curtain in carriage
幩	ornamental tassel on bridle
幭	carriage cover
幮	a kind of mosquito net
幯	wipe
幰	curtain at front of carriage
干	dry
平	flat; level; smooth
年	year
幵	flat; level
并	and
幸	trusted
幺	youngest
幻	fantasy
幼	young
幽	remote
广	wide
庀	prepare
庄	farmstead
庆	celebrate
庇	protect
庉	a village
床	bed; couch
庋	shelf
序	order; sequence
庐	hut
庑	small rooms facing or to the side of the main hall or veranda
库	warehouse
应	agree
底	bottom; base
庖	kitchen
店	inn; old-style hotel
庙	temple
庚	age
府	seat of government
庞	huge
废	abolish
庠	a school
庤	prepare
庥	protection
度	pass
座	seat
庬	huge
庭	main hall
庱	ancient area of modern-day Danyang City, Jiangsu Province
庳	low-built house
庴	place name
庵	hut
庶	ordinary; numerous
康	healthy
庸	ordinary
庹	length of 2 outstretched arms
庼	room
庾	name of a mountain
廉	incorruptible
廊	corridor
廋	search
廌	unicorn
廑	careful
廒	granary
廓	extensive; vast
廙	yurt
廛	market place
廥	barn
廧	wall
廨	government office
廪	government granary
廱	harmonious
延	prolong
廷	palace courtyard
建	establish
廾	hands joined
廿	twenty
开	open
弁	cap
异	different
弃	abandon
弄	do
弆	collect
弇	cover
弈	ancient name for go
弊	detriment
弋	shoot
式	type
弑	murder a superior
弓	a bow
引	draw
弗	not
弘	great
弛	unstring a bow
弝	the part of a bow grasped when shooting
弟	younger brother
张	open up
弢	bow case
弣	handle of bow
弤	carved bow
弥	full
弦	bow string
弧	arc
弨	unbent bow
弩	crossbow
弪	radian
弫	impactful
弭	stop
弮	crossbow
弯	bend
弰	ends of a bow
弱	weak; feeble
弶	snare
弸	strong bow
弹	pluck
强	force
弼	assist
彀	draw a bow to the full
彐	pig snout
归	return
当	be
录	diary
彗	broom
彘	swine
彝	wine vessel
形	appear
彤	red
彦	accomplished
彧	accomplished
彩	color
彪	classifier for troops
彬	urbane; well-bred; cultivated
彰	clear
影	picture
彳	step with the left foot
彴	bridge
彸	restless, agitated
役	forced labor
彻	thorough
彼	that
彽	go to and fro
往	go
征	invite
徂	go
径	diameter
待	wait
徇	give in to
很	very; quite
徉	walk back and forth
律	law
徐	slowly
徒	on foot
得	obtain
徙	change one's residence
徜	sit cross-legged
御	imperial; royal
循	follow; to act in accordance with
徬	irresolute
徭	compulsory service
微	tiny
徯	footpath
德	virtue
徻	a wide room
徼	boundary
徽	badge
忀	stroll
心	heart
忄	Kangxi radical 61 as a vertical side element
必	certainly
忆	recollect
忉	grieved
忌	be jealous of
忍	bear
忏	feel remorse
忒	err
忕	extravagant
忖	ponder
志	sign
忘	forget
忙	busy
忝	shame
忞	disorderly
忠	loyal; devoted; faithful
忡	grieved
忤	disobedient
忧	worry
快	rapid
忭	happy; delighted
忮	jealous
忱	sincerity
念	read
忺	want; to desire
忻	happy
忽	neglect
忾	anger
忿	anger
怀	bosom
态	appearance
怂	terrified
怃	have tender affection for
怄	annoy
怅	regretful; upset; despairing; depressed
怆	mournful
怊	sad; sorrowful; disappointed; frustrated
怍	ashamed
怎	how
怏	discontented
怒	anger
怔	stare blankly; to be in a daze
怕	be afraid
怖	terror
怗	peaceful
怙	rely on
怚	dull, stupid, suspicious
怛	distressed
怜	pity
思	think
怞	grieve
怠	idle
怡	harmony
急	urgent
怦	the thumping of one's heart
性	nature
怨	blame
怪	odd; strange; uncanny
怫	anger
怭	frivolous
怯	timid
怲	sad
怵	fearful
怹	he
总	general; overall
怼	dislike
怿	pleased
恁	think
恂	sincere
恃	rely on
恇	fear
恉	purport
恋	feel attached to
恌	frivolous
恍	in a hazy state of mind
恏	desire
恐	afraid
恒	permanent
恓	troubled
恔	cheerful
恕	forgive
恙	sickness
恚	rage
恛	disordered
恝	indifferent
恞	happy
恟	scared, nervous
恢	vast; expansive
恣	abandon restraint
恤	anxiety
恧	ashamed
恨	hate
恩	favor; grace; kindness
恪	respectful
恫	frighten
恬	quiet
恭	respectful
息	breath
恰	exactly
恳	earnest
恶	evil
恸	grief
恺	joyful
恻	sorrowful
恼	get angry
悀	be angry
悁	angry
悃	sincere
悄	quiet
悆	happy
悉	in all cases
悊	revere
悌	do one's duty as a younger brother
悍	heroic
悐	respect, regard
悒	anxiety
悔	regret; to repent
悕	wish
悖	go against
悚	frightened
悛	reform
悜	obscure
悝	worried
悟	comprehend
悠	long or drawn out
悢	sad; melancholy
患	suffer
悦	pleased; to please
您	you
悫	honest
悬	hang or suspend
悭	stingy
悮	impede
悯	feel sorrow; to be grieved
悰	joy
悱	want to articulate one's thoughts but be unable to
悲	sad
悴	haggard
悷	sorrowful
悸	palpitate
悻	angry
悼	mourn
悾	simple-minded
惄	distressed
情	situation; condition
惆	forlorn
惇	kindhearted
惈	courageous
惊	startle
惋	sigh in regret or pity
惌	bear a grudge against
惎	injure
惏	cold
惑	confuse
惓	earnest
惔	burn
惕	fearful
惘	disappointed
惙	mournful
惛	confused
惜	cherish
惝	disappointed
惟	-ism
惠	act of kindness
惦	think of
惧	fear
惨	miserable
惩	punish
惫	exhausted
惬	satisfied; content
惭	ashamed
惮	dread
惯	accustomed to
惰	lazy
想	think
惴	anxious
惶	fear; dread; anxiety; trepidation
惹	provoke
惺	astute; sharp-witted
愀	change countenance
愁	worry about
愃	well-being
愆	fault
愈	heal
愉	pleased
愊	melancholy
愎	perverse
意	idea; thought; meaning; sense
愐	shy
愒	desire
愓	profligate
愔	peaceful
愕	startled
愚	be stupid
感	feel
愠	indignant
愣	look distracted
愤	indignant
愦	confused
愧	ashamed
愫	guileless
愭	deferential
愮	distressed, agitated
愿	honest and prudent
慁	confused
慅	agitated
慆	rejoice
慇	solicitous
慈	compassionate
慉	foster
慊	contented
慌	unbearably; terribly
慎	careful
慑	fear; to be cowed
慕	admire
慜	clever
慝	evil thought
慢	slow
慥	sincere
慧	intelligent
慨	sigh
慬	brave
慭	wish; to prefer to
慰	comfort
慱	sad
慵	lethargic
憀	rely on
憃	foolish; stupid; dull; silly
憋	choke
憍	arrogant
憎	detest
憝	dislike
憨	silly
憩	rest
憪	composed, contented
憬	awaken
憭	clear
憯	already
憷	be afraid
憸	artful
憺	peace
憾	regret
懂	understand
懅	bashful
懆	anxious
懈	lax
懊	regret
懋	be hardworking
懑	melancholy
懒	lazy
懔	fear
懠	angry
懥	enraged
懦	cowardly; faint-hearted
懫	enraged
懮	grievous
懰	lovely
懵	confused; ignorant
懿	exemplary; virtuous
戁	stand in awe
戄	fear
戆	stupid
戈	dagger-axe
戊	fifth in order
戋	narrow
戌	ancient Chinese compass point: 300°
戍	garrison
戎	generic term for weapons
戏	trick
成	succeed
我	I; me; my
戒	guard against
戕	kill
或	maybe
戗	contrary
战	fight
戚	grief
戛	lance
戟	halberd
戠	gather
戡	kill
戢	restrain oneself
戣	a lance
戤	counterfeit
戥	small steelyard for weighing money
截	cut off
戬	carry to the utmost
戭	spear
戮	kill
戳	jab
戴	put on or wear
户	a household
戺	door pivot
戽	water bucket for irrigation
戾	bend
房	house
所	actually
扁	flat
扂	door latch
扃	shut or bolt a door
扆	screen
扇	fan
扈	retinue
扉	door with only one leaf
扊	upright bar for fastening a door
手	hand
才	just now
扎	tie
扐	divination by straw
扑	throw oneself at
扒	peel
打	dozen
扔	throw
払	take
托	torr
扛	carry on one's shoulder
扠	fork
扡	drag along
扢	clean
扣	fasten
扤	shake
扦	skewer
执	execute
扩	enlarge
扪	lay hands on
扫	sweep
扬	raise
扭	turn
扮	disguise oneself as
扯	pull
扰	disturb
扱	collect
扳	pull
扶	support with the hand
批	ascertain
扻	strike
扼	grip forcefully
扽	yank
找	try to find
承	bear
技	skill
抃	applaud
抄	make a copy
抆	wipe
抈	bend
抉	pick out
把	handle
抌	strike forcefully; to stab
抏	consume
抑	restrain
抒	express
抓	grab
抔	take up in both hands
投	throw
抖	tremble
抗	resist
折	snap
抚	comfort
抛	throw
抟	circle; to wheel
抠	dig; to pick; to scratch
抡	swing
抢	fight over
护	protect
报	report; to inform; to announce
抦	handle
抨	attack
披	drape over one's shoulders
抬	lift
抱	hold
抴	pull
抵	mortgage
抶	beat
抹	wipe
抻	pull
押	mortgage
抽	inhale
抿	smooth hair with a wet brush
拂	flick
拃	span
拄	lean on
担	picul
拆	tear open
拇	thumb
拈	nip
拉	pull
拊	pat
拌	mix
拍	pat
拎	lift up; to carry in one's hand
拐	turn
拑	pliers
拒	resist
拓	expand
拔	pull up
拖	drag
拗	twist; to bend
拘	capture
拙	awkward
拚	strive for
招	recruit
拜	bow to; to pay one's respects
拟	plan to
拢	gather together; to collect
拣	choose
拤	grip with both hands
拥	hold in one's arms; to embrace
拦	block sb's path
拧	pinch
拨	dial
择	select
拫	pull
括	tie up; to tighten up
拭	wipe
拮	antagonistic
拯	raise
拱	cup one's hands in salute
拳	fist
拴	tie up
拶	force; to coerce
拷	beat
拼	spell
拽	pull
拾	pick up
拿	hold
持	hold
挂	hang; to suspend
指	finger
挈	raise
按	press
挌	fight
挍	compare
挎	carry
挐	apprehend
挑	raise
挓	open out
挖	dig
挚	sincere
挛	cramp; to spasm
挜	attach
挝	strike; to beat
挞	whip; to flog
挟	clasp under the arm
挠	scratch
挡	resist
挢	raise
挣	struggle to get free
挤	crowd in
挥	wave
挦	pull out
挨	suffer; to endure
挪	shift
挫	obstructed
振	shake
挶	structure for carrying dirt
挹	scoop up; to ladle out
挺	straight
挼	rub
挽	pull
捂	enclose
捃	gather
捅	poke; to jab
捆	a bunch
捉	clutch
捋	stroke
捌	eight
捍	ward off
捎	bring sth to sb
捏	mold
捐	relinquish; to abandon
捕	catch; to seize; to capture
捗	make progress
捘	push
捞	fish up
损	decrease; to diminish
捡	pick up; to collect; to gather
换	exchange
捣	pound
捥	bend the wrist
捧	hold or offer with both hands
捩	tear
捭	separate
据	according to
捯	pursue
捶	beat ; to thump; to pound
捷	quick
捺	press down firmly
捻	twirl
捼	rub
捽	seize
掀	lift
掂	weigh in the hand
掇	pick up; to collect; to gather up
授	confer; to give
掉	fall
掊	break up
掌	palm of the hand
掍	edging
掎	drag
掏	fish out
掐	pick
排	arrange in order; to line up
掔	lead along
掖	tuck
掘	dig
掞	easy
掟	throw
掠	take over by force
探	explore
掣	pull
掤	ward off
接	receive
控	control
推	push
掩	cover up; to conceal
措	handle
掫	beat the night watches
掬	hold in one's hands
掭	smooth against the inkstone
掮	carry on the shoulder
掯	push down
掰	break off
掳	capture
掴	slap
掷	toss
掸	brush away
掺	grasp
掼	fling
掾	official
揃	shear
揄	draw out
揆	consider
揉	knead
揌	shake
揍	hit; to beat
揎	roll up one's sleeves
描	depict
提	carry
插	insert
揓	hold
揕	hit
揖	greet by raising clasped hands
揗	tap
揜	cover up
揝	wring
揞	apply
揠	eradicate
握	hold; to grasp
揣	put into
揥	get rid of
揩	wipe
揪	seize
揫	gather
揭	take the lid off
揰	poke out
揲	sort out divining stalks
揳	hammer in
援	help
揵	carry
揶	gesticulate
揸	stretch fingers out
揻	bend
揽	monopolize; to seize
揾	look for
揿	press
搀	take by the arm and assist
搁	put; to place; to leave
搂	hug
搅	disturb
搉	consult
搊	pluck
搋	knead
搌	sop up
搎	rub with the hand
搏	fight
搐	twitch; to have a spasm
搒	row
搓	twist
搔	scratch
搕	strike
搘	prop up
搛	pick up with chopsticks
搜	search
搞	do
搠	daub
搡	push forcefully
搢	shake
搣	pull out; to remove
搦	hold
搨	make a rubbing
搪	keep out
搬	move
搭	put up
搰	dig
搲	pull
搴	seize
搷	beat
携	carry
搽	apply
搿	hug
摀	cover
摁	press
摄	capture
摅	set forth
摆	hem
摇	shake
摈	reject
摊	spread out
摎	strangle
摒	discard
摓	wide
摔	throw down
摘	select; to pick out
摙	transport
摛	spread
摞	pile up
摠	general
摦	wide
摧	break
摩	rub
摭	pick up
摮	hit; to strike; to smite
摰	seize with the hand
摲	cut down
摴	dice
摷	knock
摸	feel with the hand
摹	imitate
摺	fold
摽	bind tightly
撂	put down
撄	oppose
撅	protrude
撇	throw
撊	valiant
撋	rub between the hands
撑	support
撒	let go
撕	tear
撙	reduce or cut down on
撚	play tricks on or toy with
撞	knock against
撢	dust
撤	remove; to take away
撧	break off
撩	tease
撬	lift
播	sow ; to spread ; to broadcast
撮	pick up with the fingertips
撰	compose
撱	clip
撵	expel
撷	collect
撸	fire
撺	rush
撼	shake
撽	beat with a stick
擀	roll
擂	scold
擅	without authority
擉	pierce
操	grasp
擎	raise; to hold up; to lift up
擐	pass through
擒	capture
